0,DRG.Definition,220001,HEALTHALLIANCE HOSPITALS INC,60 HOSPITAL ROAD,LEOMINSTER,MA,1453,MA - Worcester,11,8320.363636,9132.445392,0.911077294
423,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220008,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,2703,RI - Providence,15,7490.533333,0,0.820211128
424,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220010,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,1842,MA - Boston,11,9332.272727,0,1.021881033
425,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220012,CAPE COD HOSPITAL,88 LEWIS BAY ROAD,HYANNIS,MA,2601,MA - Boston,32,9198.84375,0,1.0072706
426,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220033,BEVERLY HOSPITAL CORPORATION,85 HERRICK STREET,BEVERLY,MA,1915,MA - Boston,13,8043.769231,0,0.880790291
427,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220035,NORTH SHORE MEDICAL CENTER,81 HIGHLAND AVENUE,SALEM,MA,1970,MA - Boston,34,8320.323529,0,0.911072902
428,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220046,BERKSHIRE MEDICAL CENTER INC,725 NORTH STREET,PITTSFIELD,MA,1201,NY - Albany,28,9226,0,1.010244201
429,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220060,JORDAN HOSPITAL INC,275 SANDWICH STREET,PLYMOUTH,MA,2360,MA - Boston,16,7522.5,0,0.823711468
430,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220063,LOWELL GENERAL HOSPITAL,295 VARNUM AVENUE,LOWELL,MA,1854,MA - Boston,16,9913.3125,0,1.085504711
431,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220070,HALLMARK HEALTH SYSTEM,585 LEBANON STREET,MELROSE,MA,2176,MA - Boston,15,8560.533333,0,0.937375803
432,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,2114,MA - Boston,112,10280.91071,0,1.125756604
433,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220074,SOUTHCOAST HOSPITAL GROUP INC,363 HIGHLAND AVENUE,FALL RIVER,MA,2720,MA - Boston,56,9329.767857,0,1.02160675
434,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220077,BAYSTATE MEDICAL CENTER,759 CHESTNUT STREET,SPRINGFIELD,MA,1199,MA - Springfield,66,10831.15152,0,1.186007806
435,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220080,HOLY FAMILY HOSPITAL,70 EAST STREET,METHUEN,MA,1844,MA - Boston,38,7783.026316,0,0.852239021
436,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220082,SAINTS MEDICAL CENTER INC,1 HOSPITAL DRIVE,LOWELL,MA,1852,MA - Boston,14,8168.142857,0,0.894409165
437,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,2215,MA - Boston,36,11481.86111,0,1.257260308
438,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,2115,MA - Boston,39,10623.58974,0,1.163279854
439,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220111,GOOD SAMARITAN MEDICAL CENTER,235 NORTH PEARL STREET,BROCKTON,MA,2301,MA - Boston,23,8308.565217,0,0.909785371
440,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,2111,MA - Boston,18,11890.77778,0,1.30203656
441,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220126,NORWOOD HOSPITAL,800 WASHINGTON STREET,NORWOOD,MA,2062,MA - Boston,13,7638.923077,0,0.83645976
442,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220135,FALMOUTH HOSPITAL,67 & 100 TER HEUN DRIVE,FALMOUTH,MA,2540,MA - Boston,28,7479.607143,0,0.819014713
443,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220163,UMASS MEMORIAL MEDICAL CENTER INC,55 LAKE AVENUE NORTH,WORCESTER,MA,1655,MA - Worcester,67,11141.8806,0,1.220032546
444,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220171,LAHEY CLINIC HOSPITAL,41 & 45 MALL ROAD,BURLINGTON,MA,1803,MA - Boston,27,8920.62963,0,0.976806238
445,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220175,METROWEST MEDICAL CENTER,115 LINCOLN STREET,FRAMINGHAM,MA,1701,MA - Boston,18,8756.777778,0,0.95886451
446,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220176,ST VINCENT HOSPITAL,123 SUMMER STREET,WORCESTER,MA,1608,MA - Worcester,14,9747.071429,0,1.067301365
447,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,2138,MA - Boston,21,8080.190476,8392.640752,0.962770922
1460,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,220010,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,1842,MA - Boston,20,8677.45,0,1.033935594
